"date","djia","nasdaqcom","btc","sp500","rate"
2014-09-17,-1.25573929302409,-1.08736651446329,-0.720816508479837,-1.09814987250231,-0.870021631563698
2014-09-18,-1.23725234695077,-1.07805002629094,-0.722798819228044,-1.08596534920377,-0.870021631563698
2014-09-19,-1.23492326954094,-1.08211778873239,-0.724585273304279,-1.08716015434847,-0.870021631563698
2014-09-22,-1.25305788972245,-1.09765520978807,-0.724141973377772,-1.10721047818295,-0.870021631563698
2014-09-23,-1.27284403752183,-1.10332144779302,-0.722114768437293,-1.12154813991933,-0.870021631563698
2014-09-24,-1.24672618691669,-1.08944512914195,-0.722873245644447,-1.10221967752644,-0.870021631563698
2014-09-25,-1.29148851392178,-1.11582892263132,-0.723574170175327,-1.14243233817772,-0.870021631563698
2014-09-26,-1.26314152450112,-1.1022776671079,-0.724004995481993,-1.12144857282394,-0.870021631563698
2014-09-29,-1.27024394019523,-1.10416840126323,-0.725750106698303,-1.12773374572054,-0.882324421662764
2014-09-30,-1.27504099272222,-1.10788426050227,-0.725058462275531,-1.13459142941563,-0.89462721176183
2014-10-01,-1.31538738895829,-1.12914756417348,-0.725259080312128,-1.16711253194791,-0.870021631563698
2014-10-02,-1.31600734701792,-1.12672897521452,-0.72577391195458,-1.16710008606098,-0.870021631563698
2014-10-03,-1.28066634986988,-1.11318368415216,-0.72671161302734,-1.14005517377524,-0.870021631563698
2014-10-06,-1.28367805869509,-1.11939268811338,-0.728485349742063,-1.14388850694782,-0.870021631563698
2014-10-07,-1.32983952602055,-1.14014901259467,-0.72811725971867,-1.18087768288579,-0.870021631563698
2014-10-08,-1.28328677369024,-1.11528019221399,-0.727107664685629,-1.13882303096977,-0.870021631563698
2014-10-09,-1.3400264871425,-1.14219482273751,-0.726379319204628,-1.1894528989764,-0.882324421662764
2014-10-10,-1.35953145177822,-1.17264339643779,-0.726588071558024,-1.21693341730447,-0.870021631563698
2014-10-13,-1.3973099343028,-1.19130619508778,-0.724849347617535,-1.25600105635875,NA
2014-10-14,-1.39830593249696,-1.18727720164321,-0.724219232061571,-1.25231707382926,-0.870021631563698
2014-10-15,-1.42768618535034,-1.19081114481998,-0.724586658161182,-1.27124726784058,-0.870021631563698
2014-10-16,-1.43183617782602,-1.19019382310049,-0.725322898833123,-1.27091122889364,-0.870021631563698
2014-10-17,-1.38725848313924,-1.17795176677927,-0.725250462259632,-1.24104110027616,-0.870021631563698
2014-10-20,-1.38399608089101,-1.1607651722411,-0.725305482600311,-1.21957194533235,-0.870021631563698
2014-10-21,-1.34755406533105,-1.12992592634153,-0.725086725529608,-1.17318612476679,-0.870021631563698
2014-10-22,-1.3735533447226,-1.14084983676896,-0.725286620764913,-1.19082194653803,-0.870021631563698
2014-10-23,-1.33686741123754,-1.11999211644969,-0.726777601699856,-1.16131274864135,-0.870021631563698
2014-10-24,-1.31526881774469,-1.11076807742374,-0.726781940134728,-1.144187208234,-0.870021631563698
2014-10-27,-1.31314639302142,-1.11010900447685,-0.727104711047397,-1.14785874487656,-0.870021631563698
2014-10-28,-1.28133373641495,-1.08674024605222,-0.726825751149542,-1.11871047770067,-0.870021631563698
2014-10-29,-1.28665927777966,-1.09123148522878,-0.728153177350451,-1.12213309660476,-0.870021631563698
2014-10-30,-1.24920601915522,-1.08618853340437,-0.727567777606584,-1.10676242625368,-0.870021631563698
2014-10-31,-1.21615852805292,-1.06692332418754,-0.727988657133717,-1.07763905085165,-0.89462721176183
2014-11-03,-1.22027125529005,-1.06448684184541,-0.728637516709793,-1.07793775213782,-0.870021631563698
2014-11-04,-1.21729003620548,-1.06904070786307,-0.728460461248065,-1.08504435357139,-0.857718841464632
2014-11-05,-1.20023441406765,-1.06991151917752,-0.727918451397164,-1.07076892126963,-0.870021631563698
2014-11-06,-1.18838745595543,-1.06461805998868,-0.727327626304625,-1.06126026365973,-0.870021631563698
2014-11-07,-1.1850911762176,-1.06638950492286,-0.727741938367855,-1.06037660568813,-0.870021631563698
2014-11-10,-1.17834786191323,-1.06069642684315,-0.726264938340755,-1.05248591337835,-0.870021631563698
2014-11-11,-1.17815137247356,-1.0580303127503,-0.726218475367155,-1.05071859743515,NA
2014-11-12,-1.17860871858313,-1.05368520286966,-0.722851790727774,-1.05249835926527,-0.870021631563698
2014-11-13,-1.17173328206933,-1.05219110537467,-0.723022096789872,-1.05115420347748,-0.870021631563698
2014-11-14,-1.1747907255055,-1.04968603173038,-0.724403156606386,-1.05054435501821,-0.870021631563698
2014-11-17,-1.17258699480719,-1.0549168640781,-0.725030500580372,-1.04867747197962,-0.857718841464632
2014-11-18,-1.16579963976634,-1.04554073129518,-0.725766318322558,-1.03563418248332,-0.845416051365565
2014-11-19,-1.16615365953263,-1.05351223349898,-0.725443486664208,-1.0394675156559,-0.857718841464632
2014-11-20,-1.1605181391381,-1.04571071843532,-0.726812373540327,-1.03445182322555,-0.857718841464632
2014-11-21,-1.14509371812439,-1.04240044254822,-0.727233736682632,-1.0210724947823,-0.857718841464632
2014-11-24,-1.14376572053217,-1.02989893217099,-0.725663689277232,-1.01371697561025,-0.857718841464632
2014-11-25,-1.14426710737821,-1.02889690271327,-0.725757279148215,-1.01667909669815,-0.857718841464632
2014-11-26,-1.1420972541695,-1.02022755856569,-0.726177798178655,-1.00946048228226,-0.857718841464632
2014-11-27,NA,NA,-0.726099454449227,NA,NA
2014-11-28,-1.14201425431998,-1.01894221720773,-0.725691049541934,-1.01601946469118,-0.882324421662764
2014-12-01,-1.15072754464444,-1.03811199504763,-0.725522431824092,-1.03359305702779,-0.820810471167433
